,topmost,bottommost,left,right,above,below,normTop,normLeft,normBottom,normRight,wordWidth,wordHeight,wordArea,standardisedText,isTitle_heightBased,isTitle_hOCRBased,isSum,isProduct,isMathElement
metal_632_717,Statement_1193_126,business!_910_1754,rabbit_557_717,1.65_1221_717,holder_632_677,,0.3259,0.3718,0.3332,0.3132,57,16,912,ccccc,False,False,False,False,False
1.65_1221_717,Statement_1193_126,business!_910_1754,metal_632_717,8.25_1504_717,295_1219_677,2.08_1219_756,0.3259,0.7182,0.3332,0.5745,43,16,688,dpdd,False,False,False,False,False
8.25_1504_717,Statement_1193_126,business!_910_1754,1.65_1221_717,,2.95_1505_677,18.72_1492_756,0.3259,0.8847,0.3332,0.7041,45,16,720,dpdd,False,False,False,False,False
Jumbo_347_756,Statement_1193_126,business!_910_1754,,bag_417_756,Decoration_349_717,Jam_347_796,0.3436,0.2041,0.3509,0.1855,61,16,976,Ccccc,False,False,False,False,False
bag_417_756,Statement_1193_126,business!_910_1754,Jumbo_347_756,pink_461_756,Decoration_349_717,making_392_796,0.3436,0.2453,0.3527,0.2055,35,20,700,ccc,False,False,False,False,False
pink_461_756,Statement_1193_126,business!_910_1754,bag_417_756,polkadot_507_756,wobbly_475_717,set_469_798,0.3436,0.2712,0.3527,0.2268,38,20,760,cccc,False,False,False,False,False
polkadot_507_756,Statement_1193_126,business!_910_1754,pink_461_756,2.08_1219_756,rabbit_557_717,printed_507_796,0.3436,0.2982,0.3527,0.2691,85,20,1700,cccccccc,False,False,False,False,False
2.08_1219_756,Statement_1193_126,business!_910_1754,polkadot_507_756,18.72_1492_756,1.65_1221_717,3.29_1219_796,0.3436,0.7171,0.3509,0.5745,45,16,720,dpdd,False,False,False,False,False
18.72_1492_756,Statement_1193_126,business!_910_1754,2.08_1219_756,,8.25_1504_717,19.74_1492_796,0.3436,0.8776,0.3509,0.7041,57,16,912,ddpdd,False,False,False,False,False
Jam_347_796,Statement_1193_126,business!_910_1754,,making_392_796,Jumbo_347_756,Lunch_349_836,0.3618,0.2041,0.3691,0.1741,36,16,576,Ccc,False,False,False,False,False
making_392_796,Statement_1193_126,business!_910_1754,Jam_347_796,,bag_417_756,bag_415_836,0.3618,0.2306,0.3709,0.2091,68,20,1360,cccccc,False,False,False,False,False
set_469_798,Statement_1193_126,business!_910_1754,,,pink_461_756,red_459_836,0.3627,0.2759,0.3691,0.2264,29,14,406,ccc,False,False,False,False,False
printed_507_796,Statement_1193_126,business!_910_1754,,3.29_1219_796,polkadot_507_756,retrospot_499_838,0.3618,0.2982,0.3709,0.2614,68,20,1360,ccccccc,False,False,False,False,False
3.29_1219_796,Statement_1193_126,business!_910_1754,printed_507_796,19.74_1492_796,2.08_1219_756,1.65_1221_836,0.3618,0.7171,0.3691,0.5741,44,16,704,dpdd,False,False,False,False,False
19.74_1492_796,Statement_1193_126,business!_910_1754,3.29_1219_796,,18.72_1492_756,3.30_1505_836,0.3618,0.8776,0.3691,0.7041,57,16,912,ddpdd,False,False,False,False,False
Lunch_349_836,Statement_1193_126,business!_910_1754,,bag_415_836,Jam_347_796,Doormat_349_875,0.38,0.2053,0.3873,0.1845,57,16,912,Ccccc,False,False,False,False,False
bag_415_836,Statement_1193_126,business!_910_1754,Lunch_349_836,red_459_836,making_392_796,keep_445_875,0.38,0.2441,0.3891,0.2045,35,20,700,ccc,False,False,False,False,False
red_459_836,Statement_1193_126,business!_910_1754,bag_415_836,,set_469_798,keep_445_875,0.38,0.27,0.3873,0.2223,30,16,480,ccc,False,False,False,False,False
retrospot_499_838,Statement_1193_126,business!_910_1754,,,printed_507_796,calm_498_875,0.3809,0.2935,0.3891,0.2682,91,18,1638,ccccccccc,False,False,False,False,False
1.65_1221_836,Statement_1193_126,business!_910_1754,,3.30_1505_836,3.29_1219_796,7.95_1219_875,0.38,0.7182,0.3873,0.5745,43,16,688,dpdd,False,False,False,False,False
3.30_1505_836,Statement_1193_126,business!_910_1754,1.65_1221_836,,19.74_1492_796,47.70_1490_875,0.38,0.8853,0.3873,0.7041,44,16,704,dpdd,False,False,False,False,False
Doormat_349_875,Statement_1193_126,business!_910_1754,,keep_445_875,Lunch_349_836,Alarm_348_915,0.3977,0.2053,0.405,0.1982,87,16,1392,Ccccccc,False,False,False,False,False
keep_445_875,Statement_1193_126,business!_910_1754,Doormat_349_875,calm_498_875,red_459_836,clock_417_915,0.3977,0.2618,0.4068,0.2227,45,20,900,cccc,False,False,False,False,False
calm_498_875,Statement_1193_126,business!_910_1754,keep_445_875,and_552_875,retrospot_499_838,bakelike_474_915,0.3977,0.2929,0.405,0.2468,45,16,720,cccc,False,False,False,False,False
and_552_875,Statement_1193_126,business!_910_1754,calm_498_875,come_596_880,retrospot_499_838,pink_561_915,0.3977,0.3247,0.405,0.2668,35,16,560,ccc,False,False,False,False,False
come_596_880,Statement_1193_126,business!_910_1754,and_552_875,in_657_880,,,0.4,0.3506,0.405,0.2945,52,11,572,cccc,False,False,False,False,False
in_657_880,Statement_1193_126,business!_910_1754,come_596_880,7.95_1219_875,,,0.4,0.3865,0.405,0.3045,13,11,143,cc,False,False,False,False,False
7.95_1219_875,Statement_1193_126,business!_910_1754,in_657_880,47.70_1490_875,1.65_1221_836,3.75_1219_915,0.3977,0.7171,0.405,0.5745,45,16,720,dpdd,False,False,False,False,False
47.70_1490_875,Statement_1193_126,business!_910_1754,7.95_1219_875,,3.30_1505_836,11.25_1492_915,0.3977,0.8765,0.405,0.7041,59,16,944,ddpdd,False,False,False,False,False
Alarm_348_915,Statement_1193_126,business!_910_1754,,clock_417_915,Doormat_349_875,,0.4159,0.2047,0.4232,0.1855,60,16,960,Ccccc,False,False,False,False,False
clock_417_915,Statement_1193_126,business!_910_1754,Alarm_348_915,bakelike_474_915,keep_445_875,,0.4159,0.2453,0.4232,0.2118,49,16,784,ccccc,False,False,False,False,False
bakelike_474_915,Statement_1193_126,business!_910_1754,clock_417_915,pink_561_915,calm_498_875,,0.4159,0.2788,0.4232,0.2509,78,16,1248,cccccccc,False,False,False,False,False
pink_561_915,Statement_1193_126,business!_910_1754,bakelike_474_915,3.75_1219_915,and_552_875,,0.4159,0.33,0.425,0.2723,38,20,760,cccc,False,False,False,False,False
3.75_1219_915,Statement_1193_126,business!_910_1754,pink_561_915,11.25_1492_915,7.95_1219_875,,0.4159,0.7171,0.4232,0.5745,45,16,720,dpdd,False,False,False,False,False
11.25_1492_915,Statement_1193_126,business!_910_1754,3.75_1219_915,,47.70_1490_875,,0.4159,0.8776,0.4232,0.7041,57,16,912,ddpdd,False,False,False,False,False
1-30_407_1309,Statement_1193_126,business!_910_1754,,Days_455_1309,,Past_405_1339,0.595,0.2394,0.6023,0.2041,42,16,672,dpdd,False,False,False,False,False
Days_455_1309,Statement_1193_126,business!_910_1754,1-30_407_1309,31-60_651_1309,,Due_449_1339,0.595,0.2676,0.6041,0.2264,43,20,860,Cccc,False,False,False,False,False
31-60_651_1309,Statement_1193_126,business!_910_1754,Days_455_1309,Days_714_1309,,Past_651_1339,0.595,0.3829,0.6023,0.3214,56,16,896,ddpdd,False,False,False,False,False
Days_714_1309,Statement_1193_126,business!_910_1754,31-60_651_1309,61-90_899_1309,,Due_695_1339,0.595,0.42,0.6041,0.3441,43,20,860,Cccc,False,False,False,False,False
61-90_899_1309,Statement_1193_126,business!_910_1754,Days_714_1309,Days_962_1309,,Past_899_1339,0.595,0.5288,0.6023,0.4341,56,16,896,ddpdd,False,False,False,False,False
Days_962_1309,Statement_1193_126,business!_910_1754,61-90_899_1309,Over_1126_1309,,Due_943_1339,0.595,0.5659,0.6041,0.4568,43,20,860,Cccc,False,False,False,False,False
Over_1126_1309,Statement_1193_126,business!_910_1754,Days_962_1309,90_1174_1309,,Past_1126_1339,0.595,0.6624,0.6023,0.5314,43,16,688,Cccc,False,False,False,False,False
90_1174_1309,Statement_1193_126,business!_910_1754,Over_1126_1309,Days_1203_1309,,Due_1170_1339,0.595,0.6906,0.6023,0.5441,23,16,368,dd,False,False,False,False,False
Days_1203_1309,Statement_1193_126,business!_910_1754,90_1174_1309,,,Due_1170_1339,0.595,0.7076,0.6041,0.5664,43,20,860,Cccc,False,False,False,False,False
Past_405_1339,Statement_1193_126,business!_910_1754,,Due_449_1339,1-30_407_1309,,0.6086,0.2382,0.6155,0.2018,39,15,585,Cccc,False,False,False,False,False
Due_449_1339,Statement_1193_126,business!_910_1754,Past_405_1339,Past_651_1339,Days_455_1309,,0.6086,0.2641,0.6155,0.2195,34,15,510,Ccc,False,False,False,False,False
Past_651_1339,Statement_1193_126,business!_910_1754,Due_449_1339,Due_695_1339,31-60_651_1309,,0.6086,0.3829,0.6155,0.3136,39,15,585,Cccc,False,False,False,False,False
Due_695_1339,Statement_1193_126,business!_910_1754,Past_651_1339,Past_899_1339,Days_714_1309,,0.6086,0.4088,0.6155,0.3314,34,15,510,Ccc,False,False,False,False,False
Past_899_1339,Statement_1193_126,business!_910_1754,Due_695_1339,Due_943_1339,61-90_899_1309,,0.6086,0.5288,0.6155,0.4264,39,15,585,Cccc,False,False,False,False,False
Due_943_1339,Statement_1193_126,business!_910_1754,Past_899_1339,Past_1126_1339,Days_962_1309,,0.6086,0.5547,0.6155,0.4441,34,15,510,Ccc,False,False,False,False,False
Past_1126_1339,Statement_1193_126,business!_910_1754,Due_943_1339,Due_1170_1339,Over_1126_1309,,0.6086,0.6624,0.6155,0.5295,39,15,585,Cccc,False,False,False,False,False
Due_1170_1339,Statement_1193_126,business!_910_1754,Past_1126_1339,,90_1174_1309,,0.6086,0.6882,0.6155,0.5473,34,15,510,Ccc,False,False,False,False,False
Current_136_1320,Statement_1193_126,business!_910_1754,,,,Remittance_137_1420,0.6,0.08,0.6136,0.0923,67,30,2010,Ccccccc,True,False,False,False,False
Amount_1333_1324,Statement_1193_126,business!_910_1754,,Due_1409_1324,,,0.6018,0.7841,0.6091,0.6382,71,16,1136,Cccccc,False,False,False,False,False
Due_1409_1324,Statement_1193_126,business!_910_1754,Amount_1333_1324,,,S$_1455_1375,0.6018,0.8288,0.6091,0.6559,34,16,544,Ccc,False,False,False,False,False
149.19_281_1377,Statement_1193_126,business!_910_1754,,,,,0.6259,0.1653,0.6332,0.1605,72,16,1152,dddpdd,False,False,False,False,False
S$_1455_1375,Statement_1193_126,business!_910_1754,,,Due_1409_1324,,0.625,0.8559,0.6345,0.6659,10,21,210,Cp,False,False,False,False,False
149.19_1477_1377,Statement_1193_126,business!_910_1754,,,,,0.6259,0.8688,0.6332,0.7036,71,16,1136,dddpdd,False,False,False,False,False
Remittance_137_1420,Statement_1193_126,business!_910_1754,,,,Statement_136_1458,0.6455,0.0806,0.6527,0.1077,100,16,1600,Cccccccccc,False,False,False,False,False
Statement_136_1458,Statement_1193_126,business!_910_1754,,,Remittance_137_1420,Date_137_1500,0.6627,0.08,0.67,0.11,106,16,1696,Ccccccccc,False,False,False,False,False
#63415_460_1461,Statement_1193_126,business!_910_1754,,,,29_461_1502,0.6641,0.2706,0.6714,0.2477,85,16,1360,pddddd,False,False,False,False,False
Date_137_1500,Statement_1193_126,business!_910_1754,,,Statement_136_1458,Amount_135_1542,0.6818,0.0806,0.6891,0.0832,46,16,736,Cccc,False,False,False,False,False
29_461_1502,Statement_1193_126,business!_910_1754,,"December,_497_1502",#63415_460_1461,S$_461_1541,0.6827,0.2712,0.69,0.2209,25,16,400,dd,False,False,False,False,False
"December,_497_1502",Statement_1193_126,business!_910_1754,29_461_1502,2014_611_1502,#63415_460_1461,149.19_483_1544,0.6827,0.2924,0.6909,0.2741,106,18,1908,Ccccccccp,False,False,False,False,False
2014_611_1502,Statement_1193_126,business!_910_1754,"December,_497_1502",,,,0.6827,0.3594,0.69,0.3027,55,16,880,dddd,False,False,False,False,False
Amount_135_1542,Statement_1193_126,business!_910_1754,,Due_224_1542,Date_137_1500,Amount_135_1583,0.7009,0.0794,0.7082,0.0977,80,16,1280,Cccccc,False,False,False,False,False
Due_224_1542,Statement_1193_126,business!_910_1754,Amount_135_1542,,,Enclosed_224_1583,0.7009,0.1318,0.7082,0.1191,38,16,608,Ccc,False,False,False,False,False
S$_461_1541,Statement_1193_126,business!_910_1754,,,29_461_1502,S$_461_1583,0.7005,0.2712,0.7105,0.2145,11,22,242,Cp,False,False,False,False,False
149.19_483_1544,Statement_1193_126,business!_910_1754,,,"December,_497_1502",149.19_483_1586,0.7018,0.2841,0.7091,0.2523,72,16,1152,dddpdd,False,False,False,False,False
