,topmost,bottommost,left,right,above,below,normTop,normLeft,normBottom,normRight,wordWidth,wordHeight,wordArea,standardisedText,isTitle_heightBased,isTitle_hOCRBased,isSum,isProduct,isMathElement
Bank_1142_1938,INVOICE_117_157,97_1547_2021,,Swift_1222_1938,174_1125_1855,GB22_1115_2021,0.8809,0.6718,0.8909,0.5514,71,22,1562,Cccc,False,False,False,False,False
Swift_1222_1938,INVOICE_117_157,97_1547_2021,Bank_1142_1938,Code:_1313_1938,"Shawnchester,_1208_1896",LOYD_1204_2021,0.8809,0.7188,0.8909,0.5923,81,22,1782,Ccccc,False,False,False,False,False
Code:_1313_1938,INVOICE_117_157,97_1547_2021,Swift_1222_1938,LOYD_1402_1938,"Shawnchester,_1208_1896",IBAN_1377_1980,0.8809,0.7724,0.8909,0.6323,78,22,1716,Ccccp,False,False,False,False,False
LOYD_1402_1938,INVOICE_117_157,97_1547_2021,Code:_1313_1938,GB_1496_1938,MN_1433_1896,IBAN_1377_1980,0.8809,0.8247,0.8909,0.6745,82,22,1804,CCCC,False,False,False,False,False
GB_1496_1938,INVOICE_117_157,97_1547_2021,LOYD_1402_1938,2L_1548_1938,44421_1491_1896,Number:_1460_1980,0.8809,0.88,0.8909,0.6991,42,22,924,CC,False,False,False,False,False
2L_1548_1938,INVOICE_117_157,97_1547_2021,GB_1496_1938,,44421_1491_1896,Number:_1460_1980,0.8809,0.9106,0.8909,0.7186,33,22,726,dC,False,False,False,False,False
IBAN_1377_1980,INVOICE_117_157,97_1547_2021,,Number:_1460_1980,LOYD_1402_1938,1463_1382_2021,0.9,0.81,0.91,0.6591,73,22,1606,CCCC,False,False,False,False,False
Number:_1460_1980,INVOICE_117_157,97_1547_2021,IBAN_1377_1980,,GB_1496_1938,3082_1464_2021,0.9,0.8588,0.91,0.7195,123,22,2706,Ccccccp,False,False,False,False,False
GB22_1115_2021,INVOICE_117_157,97_1547_2021,,LOYD_1204_2021,Bank_1142_1938,,0.9186,0.6559,0.9286,0.5423,78,22,1716,CCdd,False,False,False,False,False
LOYD_1204_2021,INVOICE_117_157,97_1547_2021,GB22_1115_2021,8546_1297_2021,Swift_1222_1938,,0.9186,0.7082,0.9286,0.5845,82,22,1804,CCCC,False,False,False,False,False
8546_1297_2021,INVOICE_117_157,97_1547_2021,LOYD_1204_2021,1463_1382_2021,Code:_1313_1938,,0.9186,0.7629,0.9286,0.6232,74,22,1628,dddd,False,False,False,False,False
1463_1382_2021,INVOICE_117_157,97_1547_2021,8546_1297_2021,3082_1464_2021,IBAN_1377_1980,,0.9186,0.8129,0.9286,0.6605,71,22,1562,dddd,False,False,False,False,False
3082_1464_2021,INVOICE_117_157,97_1547_2021,1463_1382_2021,97_1547_2021,Number:_1460_1980,,0.9186,0.8612,0.9286,0.6986,73,22,1606,dddd,False,False,False,False,False
97_1547_2021,INVOICE_117_157,97_1547_2021,3082_1464_2021,,Number:_1460_1980,,0.9186,0.91,0.9286,0.72,37,22,814,dd,False,False,False,False,False
